File,Name,Mean,Std_Dev,Variance,Std_Err,Min_ConfInt_t95,Max_ConfInt_t95,Min_ConfInt_t90,Max_ConfInt_t90
File.csv,lifeTime,65070.838,20217.546,408749162.07,4520.781,55640.489,74501.186,57272.491,72869.185
File.csv,lifeTime,65070.838,20217.546,408749162.07,4520.781,55640.489,74501.186,57272.491,72869.185
File.csv,lifeTime,65067.684,20219.079,408811141.198,4521.123,55636.62,74498.747,57268.746,72866.622
File.csv,lifeTime,65070.838,20217.546,408749162.07,4520.781,55640.489,74501.186,57272.491,72869.185
File.csv,lifeTime,65044.379,20219.425,408825142.31,4521.201,55613.154,74475.604,57245.308,72843.451
File.csv,lifeTime,64976.299,20244.073,409822495.676,4526.712,55533.577,74419.021,57167.72,72784.878
File.csv,lifeTime,65070.813,20217.546,408749181.156,4520.781,55640.465,74501.162,57272.466,72869.16
File.csv,lifeTime,65070.813,20217.546,408749181.156,4520.781,55640.465,74501.162,57272.466,72869.16
File.csv,lifeTime,65067.667,20219.079,408811154.363,4521.124,55636.603,74498.731,57268.729,72866.605
File.csv,lifeTime,65070.813,20217.546,408749181.156,4520.781,55640.465,74501.162,57272.466,72869.16
File.csv,lifeTime,64999.773,20207.935,408360632.159,4518.632,55573.908,74425.639,57205.134,72794.413
File.csv,lifeTime,65002.176,20208.275,408374395.707,4518.708,55576.152,74428.2,57207.405,72796.947
File.csv,lifeTime,65070.777,20217.546,408749167.664,4520.781,55640.429,74501.126,57272.431,72869.124
File.csv,lifeTime,65070.777,20217.546,408749167.664,4520.781,55640.429,74501.126,57272.431,72869.124
File.csv,lifeTime,65067.641,20219.079,408811145.073,4521.123,55636.577,74498.704,57268.703,72866.579
File.csv,lifeTime,65070.777,20217.546,408749167.664,4520.781,55640.429,74501.126,57272.431,72869.124
File.csv,lifeTime,64965.259,20194.763,407828451.242,4515.686,55545.537,74384.98,57175.7,72754.817
File.csv,lifeTime,65079.099,20209.815,408436619.908,4519.052,55652.357,74505.842,57283.735,72874.464
File.csv,lifeTime,65001.027,20193.193,407765038.629,4515.335,55582.038,74420.017,57212.074,72789.98
File.csv,lifeTime,65001.027,20193.193,407765038.629,4515.335,55582.038,74420.017,57212.074,72789.98
File.csv,lifeTime,64995.028,20194.74,407827538.442,4515.681,55575.317,74414.739,57205.478,72784.578
File.csv,lifeTime,65001.027,20193.193,407765038.629,4515.335,55582.038,74420.017,57212.074,72789.98
File.csv,lifeTime,64984.577,20178.398,407167750.226,4512.027,55572.489,74396.665,57201.331,72767.824
File.csv,lifeTime,64983.468,20213.671,408592485.141,4519.914,55554.927,74412.009,57186.616,72780.32
File.csv,lifeTime,65001.001,20193.193,407765047.608,4515.335,55582.011,74419.99,57212.047,72789.954
File.csv,lifeTime,65001.001,20193.193,407765047.608,4515.335,55582.011,74419.99,57212.047,72789.954
File.csv,lifeTime,64995.01,20194.741,407827544.268,4515.681,55575.299,74414.721,57205.46,72784.56
File.csv,lifeTime,65001.001,20193.193,407765047.608,4515.335,55582.011,74419.99,57212.047,72789.954
File.csv,lifeTime,65000.598,20207.483,408342382.129,4518.531,55574.943,74426.253,57206.133,72795.064
File.csv,lifeTime,65000.306,20208.911,408400077.526,4518.85,55573.985,74426.626,57205.29,72795.322
File.csv,lifeTime,65000.964,20193.193,407765051.183,4515.335,55581.974,74419.953,57212.01,72789.917
File.csv,lifeTime,65000.964,20193.193,407765051.183,4515.335,55581.974,74419.953,57212.01,72789.917
File.csv,lifeTime,64994.983,20194.741,407827544.557,4515.681,55575.272,74414.694,57205.433,72784.533
File.csv,lifeTime,65000.964,20193.193,407765051.183,4515.335,55581.974,74419.953,57212.01,72789.917
File.csv,lifeTime,64959.802,20205.305,408254369.419,4518.044,55535.163,74384.441,57166.177,72753.428
File.csv,lifeTime,64977.828,20187.637,407540686.881,4514.093,55561.43,74394.225,57191.018,72764.638
File.csv,lifeTime,65025.605,20189.237,407605271.532,4514.451,55608.461,74442.748,57238.177,72813.032
File.csv,lifeTime,65025.605,20189.237,407605271.532,4514.451,55608.461,74442.748,57238.177,72813.032
File.csv,lifeTime,65020.908,20187.384,407530461.317,4514.036,55604.629,74437.188,57234.196,72807.621
File.csv,lifeTime,65025.605,20189.237,407605271.532,4514.451,55608.461,74442.748,57238.177,72813.032
File.csv,lifeTime,64950.625,20197.143,407924572.235,4516.218,55529.793,74371.456,57160.148,72741.102
File.csv,lifeTime,65023.893,20199.83,408033112.345,4516.819,55601.808,74445.978,57232.38,72815.406
File.csv,lifeTime,65025.575,20189.237,407605274.016,4514.451,55608.431,74442.719,57238.148,72813.002
File.csv,lifeTime,65025.575,20189.237,407605274.016,4514.451,55608.431,74442.719,57238.148,72813.002
File.csv,lifeTime,65020.889,20187.384,407530462.166,4514.036,55604.61,74437.169,57234.177,72807.602
File.csv,lifeTime,65025.575,20189.237,407605274.016,4514.451,55608.431,74442.719,57238.148,72813.002
File.csv,lifeTime,64999.929,20207.032,408324131.89,4518.43,55574.485,74425.373,57205.638,72794.22
