run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-9-20230611-17:35:00-35892,runattr,,,configname,General,,
General-9-20230611-17:35:00-35892,runattr,,,datetime,20230611-17:35:00,,
General-9-20230611-17:35:00-35892,runattr,,,datetimef,20230611-173500,,
General-9-20230611-17:35:00-35892,runattr,,,experiment,General,,
General-9-20230611-17:35:00-35892,runattr,,,inifile,"HeavyTrafficLimits_lambda_1.0-switchProb_0.4-serviceTime_uniform(2s,4s).ini",,
General-9-20230611-17:35:00-35892,runattr,,,iterationvars,,,
General-9-20230611-17:35:00-35892,runattr,,,iterationvarsd,,,
General-9-20230611-17:35:00-35892,runattr,,,iterationvarsf,,,
General-9-20230611-17:35:00-35892,runattr,,,measurement,,,
General-9-20230611-17:35:00-35892,runattr,,,network,HeavyTrafficLimits,,
General-9-20230611-17:35:00-35892,runattr,,,processid,35892,,
General-9-20230611-17:35:00-35892,runattr,,,repetition,9,,
General-9-20230611-17:35:00-35892,runattr,,,replication,rep9,,
General-9-20230611-17:35:00-35892,runattr,,,resultdir,"results/lambda_1.0-switchProb_0.4-serviceTime_uniform(2s,4s)",,
General-9-20230611-17:35:00-35892,runattr,,,runnumber,9,,
General-9-20230611-17:35:00-35892,runattr,,,seedset,9,,
General-9-20230611-17:35:00-35892,config,,,network,HeavyTrafficLimits,,
General-9-20230611-17:35:00-35892,config,,,sim-time-limit,100000s,,
General-9-20230611-17:35:00-35892,config,,,repeat,20,,
General-9-20230611-17:35:00-35892,config,,,replication-label,rep9,,
General-9-20230611-17:35:00-35892,config,,,result-dir,"results/lambda_1.0-switchProb_0.4-serviceTime_uniform(2s,4s)",,
General-9-20230611-17:35:00-35892,config,,,warmup-period,30000s,,
General-9-20230611-17:35:00-35892,config,,,**.source.lambda,1.0,,
General-9-20230611-17:35:00-35892,config,,,**.router.switchProbability,0.4,,
General-9-20230611-17:35:00-35892,config,,,**.server1.serviceTime,"uniform(2s,4s)",,
General-9-20230611-17:35:00-35892,config,,,**.server2.serviceTime,"uniform(2s,4s)",,
General-9-20230611-17:35:00-35892,config,,,**.server3.serviceTime,"uniform(2s,4s)",,
General-9-20230611-17:35:00-35892,config,,,**.server1.crashTime,500,,
General-9-20230611-17:35:00-35892,config,,,**.server2.crashTime,750,,
General-9-20230611-17:35:00-35892,config,,,**.server3.crashTime,1000,,
General-9-20230611-17:35:00-35892,config,,,**.server1.queueLength.record,true,,
General-9-20230611-17:35:00-35892,config,,,**.server1.serviceTime.record,true,,
General-9-20230611-17:35:00-35892,config,,,**.server2.serviceTime.record,true,,
General-9-20230611-17:35:00-35892,config,,,**.server3.serviceTime.record,true,,
