run,type,module,name,attrname,attrvalue,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-19-20230607-00:06:43-27900,runattr,,,configname,General,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,datetime,20230607-00:06:43,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,datetimef,20230607-000643,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,experiment,General,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,inifile,"HeavyTrafficLimits_lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s).ini",,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,iterationvars,,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,iterationvarsd,,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,iterationvarsf,,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,measurement,,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,network,HeavyTrafficLimits,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,processid,27900,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,repetition,19,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,replication,rep19,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,resultdir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,runnumber,19,,,,,,,,,,
General-19-20230607-00:06:43-27900,runattr,,,seedset,19,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,network,HeavyTrafficLimits,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,sim-time-limit,100000s,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,repeat,20,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,replication-label,rep19,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,result-dir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,warmup-period,30000s,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.source.lambda,2.0,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.router.switchProbability,0.8,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server1.serviceTime,"uniform(2s,4s)",,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server2.serviceTime,"uniform(2s,4s)",,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server3.serviceTime,"uniform(2s,4s)",,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server1.crashTime,500,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server2.crashTime,750,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server3.crashTime,1000,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server1.queueLength.record,true,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server1.serviceTime.record,true,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server2.serviceTime.record,true,,,,,,,,,,
General-19-20230607-00:06:43-27900,config,,,**.server3.serviceTime.record,true,,,,,,,,,,
General-19-20230607-00:06:43-27900,histogram,HeavyTrafficLimits.queue1,queueingTime:histogram,,,31889,31889,50284.599713945,15623.722967519,23221.705853791,77349.117092852,0,0,"22750 23550 24350 25150 25950 26750 27550 28350 29150 29950 30750 31550 32350 33150 33950 34750 35550 36350 37150 37950 38750 39550 40350 41150 41950 42750 43550 44350 45150 45950 46750 47550 48350 49150 49950 50750 51550 52350 53150 53950 54750 55550 56350 57150 57950 58750 59550 60350 61150 61950 62750 63550 64350 65150 65950 66750 67550 68350 69150 69950 70750 71550 72350 73150 73950 74750 75550 76350 77150 77950","195 463 471 468 485 466 474 463 475 482 480 477 468 463 469 463 473 476 479 476 468 466 471 469 484 464 464 464 472 474 463 468 476 467 480 468 464 473 462 461 477 480 481 468 467 465 488 475 478 459 466 481 466 474 473 477 464 475 468 485 478 483 463 467 471 479 462 458 117"
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,interpolationmode,none,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,recordingmode,histogram,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,title,queueing time at dequeue,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,unit,s,,,,,,,,,,
General-19-20230607-00:06:43-27900,histogram,HeavyTrafficLimits.queue2,queueingTime:histogram,,,24467,24467,2780.9525144946,842.34563084293,1297.6962075734,4369.7909328231,0,0,"1294 1358 1422 1486 1550 1614 1678 1742 1806 1870 1934 1998 2062 2126 2190 2254 2318 2382 2446 2510 2574 2638 2702 2766 2830 2894 2958 3022 3086 3150 3214 3278 3342 3406 3470 3534 3598 3662 3726 3790 3854 3918 3982 4046 4110 4174 4238 4302 4366 4430","534 358 346 599 334 425 400 587 490 1110 590 543 258 462 921 800 369 350 593 781 749 526 446 537 390 308 344 378 387 450 395 478 406 900 1184 1217 564 353 429 390 320 233 400 403 376 396 332 315 11"
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue2,queueingTime:histogram,interpolationmode,none,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue2,queueingTime:histogram,recordingmode,histogram,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue2,queueingTime:histogram,title,queueing time at dequeue,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue2,queueingTime:histogram,unit,s,,,,,,,,,,
General-19-20230607-00:06:43-27900,histogram,HeavyTrafficLimits.queue3,queueingTime:histogram,,,1518,1518,1.591889556418,0.87021917764043,0.051959500178,7.556755616323,0,0,"0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6 6.1 6.2 6.3 6.4 6.5 6.6 6.7 6.8 6.9 7 7.1 7.2 7.3 7.4 7.5 7.6","6 0 0 0 162 1 0 0 0 17 0 0 0 963 0 0 0 65 0 0 0 0 3 0 0 0 212 0 0 0 0 22 0 0 0 1 0 0 0 46 0 0 0 0 7 0 0 0 0 0 0 0 0 8 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1"
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue3,queueingTime:histogram,interpolationmode,none,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue3,queueingTime:histogram,recordingmode,histogram,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue3,queueingTime:histogram,title,queueing time at dequeue,,,,,,,,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.queue3,queueingTime:histogram,unit,s,,,,,,,,,,
