run,type,module,name,attrname,attrvalue,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-19-20230606-16:59:57-7532,runattr,,,configname,General,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,datetime,20230606-16:59:57,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,datetimef,20230606-165957,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,experiment,General,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,inifile,HeavyTrafficLimits_lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3.ini,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,iterationvars,,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,iterationvarsd,,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,iterationvarsf,,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,measurement,,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,network,HeavyTrafficLimits,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,processid,7532,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,repetition,19,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,replication,rep19,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,resultdir,results/lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,runnumber,19,,,,,,,,,,
General-19-20230606-16:59:57-7532,runattr,,,seedset,19,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,network,HeavyTrafficLimits,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,sim-time-limit,100000s,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,repeat,20,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,replication-label,rep19,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,result-dir,results/lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,warmup-period,30000s,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.source.lambda,1.0,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.router.switchProbability,0.2,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server1.serviceTime,exponential(0.33s),,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server2.serviceTime,exponential(0.33s),,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server3.serviceTime,exponential(0.33s),,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server1.crashTime,500,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server2.crashTime,750,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server3.crashTime,1000,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.S1.serviceTime,exponential(0.333s),,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server1.queueLength.record,true,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server1.serviceTime.record,true,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server2.serviceTime.record,true,,,,,,,,,,
General-19-20230606-16:59:57-7532,config,,,**.server3.serviceTime.record,true,,,,,,,,,,
General-19-20230606-16:59:57-7532,histogram,HeavyTrafficLimits.queue1,queueingTime:histogram,,,2376,2376,0.017119022888096,0.010436085270295,1.5421506e-05,0.066008443547,0,0,"0 0.001 0.002 0.003 0.004 0.005 0.006 0.007 0.008 0.009 0.01 0.011 0.012 0.013 0.014 0.015 0.016 0.017 0.018 0.019 0.02 0.021 0.022 0.023 0.024 0.025 0.026 0.027 0.028 0.029 0.03 0.031 0.032 0.033 0.034 0.035 0.036 0.037 0.038 0.039 0.04 0.041 0.042 0.043 0.044 0.045 0.046 0.047 0.048 0.049 0.05 0.051 0.052 0.053 0.054 0.055 0.056 0.057 0.058 0.059 0.06 0.061 0.062 0.063 0.064 0.065 0.066 0.067","68 73 68 60 65 87 69 65 80 77 84 76 60 91 68 62 66 68 59 63 63 78 72 68 57 67 66 69 69 68 55 65 70 59 3 0 7 3 2 1 2 2 0 1 2 0 0 1 0 2 1 4 0 1 2 0 1 0 2 0 1 1 1 0 0 0 1"
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,interpolationmode,none,,,,,,,,,,
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,recordingmode,histogram,,,,,,,,,,
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,title,queueing time at dequeue,,,,,,,,,,
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue1,queueingTime:histogram,unit,s,,,,,,,,,,
