run,type,module,name,attrname,attrvalue,value
General-19-20230606-16:59:57-7532,runattr,,,configname,General,
General-19-20230606-16:59:57-7532,runattr,,,datetime,20230606-16:59:57,
General-19-20230606-16:59:57-7532,runattr,,,datetimef,20230606-165957,
General-19-20230606-16:59:57-7532,runattr,,,experiment,General,
General-19-20230606-16:59:57-7532,runattr,,,inifile,HeavyTrafficLimits_lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3.ini,
General-19-20230606-16:59:57-7532,runattr,,,iterationvars,,
General-19-20230606-16:59:57-7532,runattr,,,iterationvarsd,,
General-19-20230606-16:59:57-7532,runattr,,,iterationvarsf,,
General-19-20230606-16:59:57-7532,runattr,,,measurement,,
General-19-20230606-16:59:57-7532,runattr,,,network,HeavyTrafficLimits,
General-19-20230606-16:59:57-7532,runattr,,,processid,7532,
General-19-20230606-16:59:57-7532,runattr,,,repetition,19,
General-19-20230606-16:59:57-7532,runattr,,,replication,rep19,
General-19-20230606-16:59:57-7532,runattr,,,resultdir,results/lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3,
General-19-20230606-16:59:57-7532,runattr,,,runnumber,19,
General-19-20230606-16:59:57-7532,runattr,,,seedset,19,
General-19-20230606-16:59:57-7532,config,,,network,HeavyTrafficLimits,
General-19-20230606-16:59:57-7532,config,,,sim-time-limit,100000s,
General-19-20230606-16:59:57-7532,config,,,repeat,20,
General-19-20230606-16:59:57-7532,config,,,replication-label,rep19,
General-19-20230606-16:59:57-7532,config,,,result-dir,results/lambda_1.0-switchProb_0.2-s1ExpMean_mu1_3,
General-19-20230606-16:59:57-7532,config,,,warmup-period,30000s,
General-19-20230606-16:59:57-7532,config,,,**.source.lambda,1.0,
General-19-20230606-16:59:57-7532,config,,,**.router.switchProbability,0.2,
General-19-20230606-16:59:57-7532,config,,,**.server1.serviceTime,exponential(0.33s),
General-19-20230606-16:59:57-7532,config,,,**.server2.serviceTime,exponential(0.33s),
General-19-20230606-16:59:57-7532,config,,,**.server3.serviceTime,exponential(0.33s),
General-19-20230606-16:59:57-7532,config,,,**.server1.crashTime,500,
General-19-20230606-16:59:57-7532,config,,,**.server2.crashTime,750,
General-19-20230606-16:59:57-7532,config,,,**.server3.crashTime,1000,
General-19-20230606-16:59:57-7532,config,,,**.S1.serviceTime,exponential(0.333s),
General-19-20230606-16:59:57-7532,config,,,**.server1.queueLength.record,true,
General-19-20230606-16:59:57-7532,config,,,**.server1.serviceTime.record,true,
General-19-20230606-16:59:57-7532,config,,,**.server2.serviceTime.record,true,
General-19-20230606-16:59:57-7532,config,,,**.server3.serviceTime.record,true,
General-19-20230606-16:59:57-7532,scalar,HeavyTrafficLimits.queue3,queueingTime:max,,,3.590230148133
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue3,queueingTime:max,interpolationmode,none,
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue3,queueingTime:max,recordingmode,max,
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue3,queueingTime:max,title,"queueing time at dequeue, max",
General-19-20230606-16:59:57-7532,attr,HeavyTrafficLimits.queue3,queueingTime:max,unit,s,
