File,Module,Median,ConfInt_95_Width,Min_ConfInt_95,Max_ConfInt_95,Min_ConfInt_90,Max_ConfInt_90
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,1.052,0.0,1.052,1.052,1.052,1.052
Server1_responseTime.csv,HeavyTrafficLimits.server1,2.021,0.0,2.021,2.021,2.021,2.021
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,1.052,0.0,1.052,1.052,1.052,1.052
Server1_responseTime.csv,HeavyTrafficLimits.server1,2.021,0.0,2.021,2.021,2.021,2.021
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,1.052,0.0,1.052,1.052,1.052,1.052
Server1_responseTime.csv,HeavyTrafficLimits.server1,2.021,0.0,2.021,2.021,2.021,2.021
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
Server1_responseTime.csv,HeavyTrafficLimits.server1,0.003,0.0,0.003,0.003,0.003,0.003
