File,Name,Mean,Std_Dev,Variance,Std_Err,Min_ConfInt_t95,Max_ConfInt_t95,Min_ConfInt_t90,Max_ConfInt_t90
System_responseTime.csv,responseTime,0.634,0.56,0.313,0.125,0.373,0.895,0.419,0.85
System_responseTime.csv,responseTime,0.634,0.56,0.313,0.125,0.373,0.895,0.419,0.85
System_responseTime.csv,responseTime,0.431,0.361,0.13,0.081,0.263,0.6,0.292,0.571
System_responseTime.csv,responseTime,0.634,0.56,0.313,0.125,0.373,0.895,0.419,0.85
System_responseTime.csv,responseTime,45494.887,26971.654,727470118.923,6031.045,32914.127,58075.647,35091.334,55898.44
System_responseTime.csv,responseTime,47825.791,15355.691,235797244.937,3433.637,40663.224,54988.357,41902.767,53748.814
System_responseTime.csv,responseTime,0.622,0.577,0.333,0.129,0.353,0.891,0.4,0.845
System_responseTime.csv,responseTime,0.622,0.577,0.333,0.129,0.353,0.891,0.4,0.845
System_responseTime.csv,responseTime,0.409,0.353,0.125,0.079,0.245,0.574,0.273,0.545
System_responseTime.csv,responseTime,0.622,0.577,0.333,0.129,0.353,0.891,0.4,0.845
System_responseTime.csv,responseTime,36150.252,23550.351,554619053.315,5266.019,25165.338,47135.167,27066.37,45234.135
System_responseTime.csv,responseTime,41909.972,12519.224,156730965.336,2799.384,36070.458,47749.486,37081.035,46738.909
System_responseTime.csv,responseTime,0.386,0.294,0.087,0.066,0.249,0.524,0.273,0.5
System_responseTime.csv,responseTime,0.386,0.294,0.087,0.066,0.249,0.524,0.273,0.5
System_responseTime.csv,responseTime,0.28,0.207,0.043,0.046,0.183,0.377,0.2,0.36
System_responseTime.csv,responseTime,0.386,0.294,0.087,0.066,0.249,0.524,0.273,0.5
System_responseTime.csv,responseTime,40476.27,22045.199,485990818.743,4929.456,30193.424,50759.116,31972.957,48979.582
System_responseTime.csv,responseTime,44745.271,13769.656,189603414.22,3078.989,38322.501,51168.041,39434.015,50056.526
System_responseTime.csv,responseTime,0.692,0.633,0.401,0.142,0.397,0.987,0.448,0.936
System_responseTime.csv,responseTime,0.692,0.633,0.401,0.142,0.397,0.987,0.448,0.936
System_responseTime.csv,responseTime,0.475,0.418,0.175,0.094,0.28,0.67,0.314,0.637
System_responseTime.csv,responseTime,0.692,0.633,0.401,0.142,0.397,0.987,0.448,0.936
System_responseTime.csv,responseTime,51351.641,26438.866,699013625.823,5911.91,39019.397,63683.886,41153.596,61549.686
System_responseTime.csv,responseTime,53644.232,16949.677,287291549.756,3790.063,45738.161,61550.304,47106.374,60182.091
System_responseTime.csv,responseTime,0.634,0.589,0.347,0.132,0.359,0.909,0.407,0.861
System_responseTime.csv,responseTime,0.634,0.589,0.347,0.132,0.359,0.909,0.407,0.861
System_responseTime.csv,responseTime,0.466,0.431,0.186,0.096,0.265,0.667,0.3,0.633
System_responseTime.csv,responseTime,0.634,0.589,0.347,0.132,0.359,0.909,0.407,0.861
